,day_counter,0,1,2,3,4,5,6,7
2010-01-01,0,21,,,,,,,
2010-01-02,1,23,,,,,,,
2010-01-03,2,23,,,,,,,
2010-01-04,3,24,,,,,,,
2010-01-05,4,24,,,,,,,
2010-01-06,5,25,,,,,,,
2010-01-07,6,26,,,,,,,
2010-01-08,7,27,,,,,,,
2010-01-09,8,27,,,,,,,
2010-01-10,9,27,,,,,,,
2010-01-11,10,28,,,,,,,
2010-01-12,11,28,,,,,,,
2010-01-13,12,28,,,,,,,
2010-01-14,13,29,,,,,,,
2010-01-15,14,29,,,,,,,
2010-01-16,15,29,,,,,,,
2010-01-17,16,29,,,,,,,
2010-01-18,17,28,,,,,,,
2010-01-19,18,29,,,,,,,
2010-01-20,19,30,,,,,,,
2010-01-21,20,31,,,,,,,
2010-01-22,21,32,,,,,,,
2010-01-23,22,32,,,,,,,
2010-01-24,23,32,,,,,,,
2010-01-25,24,31,2,,,,,,
2010-01-26,25,32,2,,,,,,
2010-01-27,26,32,2,,,,,,
2010-01-28,27,34,2,,,,,,
2010-01-29,28,34,2,,,,,,
2010-01-30,29,35,2,,,,,,
2010-01-31,30,35,2,,,,,,
2010-02-01,31,37,2,,,,,,
2010-02-02,32,37,2,,,,,,
2010-02-03,33,37,2,,,,,,
2010-02-04,34,37,2,,,,,,
2010-02-05,35,37,2,,,,,,
2010-02-06,36,37,2,,,,,,
2010-02-07,37,37,2,,,,,,
2010-02-08,38,36,2,,,,,,
2010-02-09,39,36,2,,,,,,
2010-02-10,40,35,4,,,,,,
2010-02-11,41,37,4,,,,,,
2010-02-12,42,37,4,,,,,,
2010-02-13,43,38,4,,,,,,
2010-02-14,44,38,4,,,,,,
2010-02-15,45,38,4,,,,,,
2010-02-16,46,40,4,,,,,,
2010-02-17,47,40,4,,,,,,
2010-02-18,48,40,4,,,,,,
2010-02-19,49,40,4,,,,,,
2010-02-20,50,40,4,,,,,,
2010-02-21,51,41,4,,,,,,
2010-02-22,52,42,4,,,,,,
2010-02-23,53,44,4,,,,,,
2010-02-24,54,44,4,,,,,,
2010-02-25,55,44,4,,,,,,
2010-02-26,56,44,4,,,,,,
2010-02-27,57,44,4,,,,,,
2010-02-28,58,44,4,,,,,,
2010-03-01,59,44,4,,,,,,
2010-03-02,60,44,4,,,,,,
2010-03-03,61,44,4,,,,,,
2010-03-04,62,42,6,,,,,,
2010-03-05,63,42,6,,,,,,
2010-03-06,64,42,6,,,,,,
2010-03-07,65,42,6,,,,,,
2010-03-08,66,43,7,,,,,,
2010-03-09,67,43,7,,,,,,
2010-03-10,68,47,7,,,,,,
2010-03-11,69,48,7,,,,,,
2010-03-12,70,49,7,,,,,,
