,day_counter,0,1,2,3,4
2010-01-01,0,21,,,,
2010-01-02,1,23,,,,
2010-01-03,2,23,,,,
2010-01-04,3,24,,,,
2010-01-05,4,24,,,,
2010-01-06,5,25,,,,
2010-01-07,6,26,,,,
2010-01-08,7,27,,,,
2010-01-09,8,27,,,,
2010-01-10,9,27,,,,
2010-01-11,10,28,,,,
2010-01-12,11,28,,,,
2010-01-13,12,28,,,,
2010-01-14,13,29,,,,
2010-01-15,14,29,,,,
2010-01-16,15,29,,,,
2010-01-17,16,29,,,,
2010-01-18,17,28,,,,
2010-01-19,18,28,,,,
2010-01-20,19,27,,,,
2010-01-21,20,27,,,,
2010-01-22,21,26,,,,
2010-01-23,22,26,,,,
2010-01-24,23,26,,,,
2010-01-25,24,24,2,,,
2010-01-26,25,25,2,,,
2010-01-27,26,25,2,,,
2010-01-28,27,27,2,,,
2010-01-29,28,26,2,,,
2010-01-30,29,27,2,,,
2010-01-31,30,27,2,,,
2010-02-01,31,29,2,,,
2010-02-02,32,29,2,,,
2010-02-03,33,29,2,,,
2010-02-04,34,29,2,,,
2010-02-05,35,29,2,,,
2010-02-06,36,29,2,,,
2010-02-07,37,29,2,,,
2010-02-08,38,28,2,,,
2010-02-09,39,28,2,,,
2010-02-10,40,29,2,,,
2010-02-11,41,32,,,,
2010-02-12,42,32,,,,
2010-02-13,43,32,,,,
2010-02-14,44,32,,,,
2010-02-15,45,29,,,,
2010-02-16,46,29,,,,
2010-02-17,47,29,,,,
2010-02-18,48,29,,,,
2010-02-19,49,29,,,,
2010-02-20,50,29,,,,
2010-02-21,51,30,,,,
2010-02-22,52,31,,,,
2010-02-23,53,31,,,,
2010-02-24,54,31,,,,
2010-02-25,55,31,,,,
2010-02-26,56,31,,,,
2010-02-27,57,31,,,,
2010-02-28,58,31,,,,
2010-03-01,59,31,,,,
2010-03-02,60,31,,,,
2010-03-03,61,31,,,,
2010-03-04,62,29,,,,
2010-03-05,63,29,,,,
2010-03-06,64,29,,,,
2010-03-07,65,29,,,,
2010-03-08,66,29,2,,,
2010-03-09,67,29,2,,,
2010-03-10,68,33,2,,,
2010-03-11,69,34,2,,,
2010-03-12,70,35,2,,,
2010-03-13,71,35,2,,,
2010-03-14,72,35,2,,,
2010-03-15,73,36,2,,,
2010-03-16,74,35,2,,,
2010-03-17,75,35,2,,,
2010-03-18,76,35,2,,,
2010-03-19,77,34,2,,,
2010-03-20,78,34,2,,,
2010-03-21,79,34,2,,,
2010-03-22,80,34,2,,,
2010-03-23,81,34,2,,,
2010-03-24,82,31,2,,,
2010-03-25,83,30,2,,,
2010-03-26,84,30,2,,,
2010-03-27,85,31,,,,
2010-03-28,86,32,,,,
