,day_counter,0,1,2,3,4
2010-01-01,0,21,,,,
2010-01-02,1,23,,,,
2010-01-03,2,23,,,,
2010-01-04,3,24,,,,
2010-01-05,4,24,,,,
2010-01-06,5,25,,,,
2010-01-07,6,26,,,,
2010-01-08,7,27,,,,
2010-01-09,8,27,,,,
2010-01-10,9,27,,,,
2010-01-11,10,28,,,,
2010-01-12,11,28,,,,
2010-01-13,12,28,,,,
2010-01-14,13,29,,,,
2010-01-15,14,29,,,,
2010-01-16,15,29,,,,
2010-01-17,16,29,,,,
2010-01-18,17,28,,,,
2010-01-19,18,29,,,,
2010-01-20,19,29,,,,
2010-01-21,20,30,,,,
2010-01-22,21,30,,,,
2010-01-23,22,30,,,,
2010-01-24,23,30,,,,
2010-01-25,24,27,2,,,
2010-01-26,25,27,2,,,
2010-01-27,26,27,2,,,
2010-01-28,27,29,2,,,
2010-01-29,28,29,2,,,
2010-01-30,29,29,2,,,
2010-01-31,30,29,2,,,
2010-02-01,31,31,2,,,
2010-02-02,32,31,2,,,
2010-02-03,33,31,2,,,
2010-02-04,34,31,2,,,
2010-02-05,35,31,2,,,
2010-02-06,36,31,2,,,
2010-02-07,37,31,2,,,
2010-02-08,38,30,2,,,
2010-02-09,39,30,2,,,
2010-02-10,40,28,4,,,
2010-02-11,41,31,2,,,
2010-02-12,42,31,2,,,
2010-02-13,43,32,,,,
2010-02-14,44,32,,,,
2010-02-15,45,32,,,,
2010-02-16,46,34,,,,
2010-02-17,47,34,,,,
2010-02-18,48,33,,,,
2010-02-19,49,33,,,,
2010-02-20,50,33,,,,
2010-02-21,51,34,,,,
2010-02-22,52,35,,,,
2010-02-23,53,37,,,,
2010-02-24,54,37,,,,
2010-02-25,55,37,,,,
2010-02-26,56,37,,,,
2010-02-27,57,37,,,,
2010-02-28,58,37,,,,
2010-03-01,59,37,,,,
2010-03-02,60,37,,,,
2010-03-03,61,37,,,,
2010-03-04,62,36,,,,
2010-03-05,63,36,,,,
2010-03-06,64,36,,,,
2010-03-07,65,36,,,,
2010-03-08,66,36,2,,,
2010-03-09,67,36,2,,,
2010-03-10,68,39,2,,,
2010-03-11,69,40,2,,,
2010-03-12,70,42,,,,
2010-03-13,71,42,,,,
2010-03-14,72,42,,,,
2010-03-15,73,43,,,,
2010-03-16,74,44,,,,
2010-03-17,75,46,,,,
2010-03-18,76,46,,,,
2010-03-19,77,46,,,,
2010-03-20,78,46,,,,
2010-03-21,79,46,,,,
2010-03-22,80,46,,,,
2010-03-23,81,46,,,,
2010-03-24,82,46,,,,
2010-03-25,83,45,,,,
2010-03-26,84,44,,,,
2010-03-27,85,44,,,,
2010-03-28,86,45,,,,
2010-03-29,87,45,,,,
