,day_counter,0,1,2,3,4
2010-01-01,0,21,,,,
2010-01-02,1,23,,,,
2010-01-03,2,23,,,,
2010-01-04,3,24,,,,
2010-01-05,4,24,,,,
2010-01-06,5,25,,,,
2010-01-07,6,26,,,,
2010-01-08,7,27,,,,
2010-01-09,8,27,,,,
2010-01-10,9,27,,,,
2010-01-11,10,28,,,,
2010-01-12,11,28,,,,
2010-01-13,12,28,,,,
2010-01-14,13,29,,,,
2010-01-15,14,29,,,,
2010-01-16,15,29,,,,
2010-01-17,16,29,,,,
2010-01-18,17,27,,,,
2010-01-19,18,28,,,,
2010-01-20,19,29,,,,
2010-01-21,20,30,,,,
2010-01-22,21,31,,,,
2010-01-23,22,31,,,,
2010-01-24,23,31,,,,
2010-01-25,24,29,2,,,
2010-01-26,25,29,2,,,
2010-01-27,26,29,2,,,
2010-01-28,27,31,2,,,
2010-01-29,28,31,2,,,
2010-01-30,29,32,2,,,
2010-01-31,30,32,2,,,
2010-02-01,31,34,2,,,
2010-02-02,32,34,2,,,
2010-02-03,33,34,2,,,
2010-02-04,34,34,2,,,
2010-02-05,35,34,2,,,
2010-02-06,36,34,2,,,
2010-02-07,37,34,2,,,
2010-02-08,38,33,2,,,
2010-02-09,39,33,2,,,
2010-02-10,40,32,4,,,
2010-02-11,41,35,2,,,
2010-02-12,42,35,2,,,
2010-02-13,43,37,,,,
2010-02-14,44,37,,,,
2010-02-15,45,37,,,,
2010-02-16,46,39,,,,
2010-02-17,47,39,,,,
2010-02-18,48,39,,,,
2010-02-19,49,39,,,,
2010-02-20,50,39,,,,
2010-02-21,51,40,,,,
2010-02-22,52,41,,,,
2010-02-23,53,43,,,,
2010-02-24,54,43,,,,
2010-02-25,55,43,,,,
2010-02-26,56,43,,,,
2010-02-27,57,43,,,,
2010-02-28,58,43,,,,
2010-03-01,59,43,,,,
2010-03-02,60,43,,,,
2010-03-03,61,43,,,,
2010-03-04,62,39,,3,,
2010-03-05,63,39,,3,,
2010-03-06,64,39,,3,,
2010-03-07,65,39,,3,,
2010-03-08,66,39,2,3,,
2010-03-09,67,39,2,3,,
2010-03-10,68,43,2,3,,
2010-03-11,69,44,2,3,,
2010-03-12,70,45,2,3,,
2010-03-13,71,45,2,3,,
2010-03-14,72,45,2,3,,
2010-03-15,73,46,2,3,,
2010-03-16,74,47,2,3,,
2010-03-17,75,49,2,3,,
2010-03-18,76,49,2,3,,
2010-03-19,77,49,2,3,,
2010-03-20,78,49,2,3,,
2010-03-21,79,49,2,3,,
2010-03-22,80,49,2,3,,
2010-03-23,81,49,2,3,,
2010-03-24,82,49,2,3,,
2010-03-25,83,50,2,3,,
2010-03-26,84,50,2,3,,
